cellid,sigl,acc,bearing,alt,rsrq,rssnr,ta,WindSpeed,WindGust,Precip
5125645,4,142.7,112.9,249.8,-10,5.8,-1,7 ,0 ,0.3 
5125645,4,25,19.8,249.8,-13,9.8,-1,7 ,0 ,0.3 
5125645,4,15.1,14.7,250,-13,10.6,-1,7 ,0 ,0.3 
5125645,4,140.7,91.1,250,-14,8.6,-1,7 ,0 ,0.3 
5125645,4,16.4,175,249.8,-13,11.4,-1,7 ,0 ,0.3 
5125645,4,16.4,357.1,249.8,-13,12.8,-1,7 ,0 ,0.3 
5125645,4,15,239,249.9,-11,10.6,-1,7 ,0 ,0.3 
5125645,4,28.6,18.2,249.8,-13,8,0,7 ,0 ,0.3 
5125645,4,32.1,279.6,246.9,-12,9.2,-1,7 ,0 ,0.3 
5125645,4,42.8,246.1,250,-13,14,-1,7 ,0 ,0.3 
5125645,4,45.9,231,249.9,-13,14,-1,7 ,0 ,0.3 
5125645,4,42,276.2,250,-15,14,-1,7 ,0 ,0.3 
5125645,4,36.4,194.6,249.8,-15,11.6,-1,7 ,0 ,0.3 
5125645,4,23.1,206.5,249.9,-13,13,-1,7 ,0 ,0.3 
5125645,4,33.4,208.1,249.8,-14,13,-1,7 ,0 ,0.3 
5125645,4,18.2,114.8,250,-11,10.8,-1,7 ,0 ,0.3 
5125645,4,21.1,52.5,249.9,-11,10.4,-1,7 ,0 ,0.3 
5125645,4,26,53.1,249.8,-9,12.4,-1,7 ,0 ,0.3 
5125645,4,30.6,54.7,249.9,-9,11.4,-1,7 ,0 ,0.3 
5125645,4,30.1,264.7,249.9,-12,8.8,-1,7 ,0 ,0.3 
5125645,4,26.1,335.9,249.9,-14,12.2,1,7 ,0 ,0.3 
5125645,4,45,33.1,249.9,-14,10,1,7 ,0 ,0.3 
5125645,4,32.2,17.6,249.8,-13,10,-1,7 ,0 ,0.3 
5125645,4,52.5,68.1,250,-13,11.2,-1,7 ,0 ,0.3 
5125645,4,44.6,57.8,250,-14,11.2,-1,7 ,0 ,0.3 
5125645,4,36.4,217.9,249.9,-9,11.6,-1,7 ,0 ,0.3 
5125645,4,48.1,220.4,249.8,-13,11.2,-1,7 ,0 ,0.3 
5125645,4,32.1,234.3,250,-13,16.2,-1,7 ,0 ,0.3 
5125645,4,14.9,225.9,249.9,-10,11.4,-1,7 ,0 ,0.3 
5125645,4,87.5,36.1,249.9,-10,11.4,-1,7 ,0 ,0.3 
5125645,4,15.1,268.7,250,-13,11.6,-1,7 ,0 ,0.3 
5125645,4,14.9,278.7,246.9,-9,11.4,-1,7 ,0 ,0.3 
5125645,4,15.8,267,249.9,-15,11.2,-1,7 ,0 ,0.3 
5125645,4,44,137.6,249.9,-12,8.2,-1,7 ,0 ,0.3 
5125645,4,71.6,177.1,250,-12,8.8,-1,7 ,0 ,0.3 
5125645,4,15.1,46.1,246.9,-10,8,1,7 ,0 ,0.3 
5125645,4,78,54.5,250,-9,13,-1,7 ,0 ,0.3 
5125645,4,33.2,223.3,249.9,-11,15,-1,7 ,0 ,0.3 
5125645,4,21.4,41.7,249.9,-10,10,-1,7 ,0 ,0.3 
5125645,4,36.6,322.6,249.9,-10,9,-1,7 ,0 ,0.3 
5125645,4,50.4,211.5,249.9,-10,9,-1,7 ,0 ,0.3 
5125645,4,38.6,67.5,249.9,-11,16.2,-1,7 ,0 ,0.3 
5125645,4,72.5,222.1,250,-11,11.8,-1,7 ,0 ,0.3 
5125645,4,15.1,281.6,249.9,-13,22.4,-1,7 ,0 ,0.3 
5125645,4,61.4,200.4,249.9,-14,7,-1,7 ,0 ,0.3 
5125645,4,15,28.2,250,-13,16.4,-1,7 ,0 ,0.3 
5125645,4,65.1,25.2,249.9,-11,10.4,-1,7 ,0 ,0.3 
5125645,4,23.3,10.1,249.9,-12,13,-1,7 ,0 ,0.3 
5125645,4,12.9,12.5,249.9,-12,13,-1,7 ,0 ,0.3 
5125645,4,27.4,271.7,249.9,-9,10,-1,7 ,0 ,0.3 
5125645,4,32.2,45.7,249.9,-10,8,-1,7 ,0 ,0.3 
5125645,4,41.8,33.4,249.9,-12,7.6,1,7 ,0 ,0.3 
5125645,4,738.7,0,249.9,-14,4,1,7 ,0 ,0.3 
5125645,4,15,124.9,249.9,-10,7.6,-1,7 ,0 ,0.3 
5125645,4,15,184.6,249.8,-10,6.8,-1,7 ,0 ,0.3 
5125645,4,15.1,289.6,249.9,-12,4,-1,7 ,0 ,0.3 
